관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ선흘2,2024-02-01,S11,4.805,,,,,,,2024-02
JQ선흘2,2024-03-01,S11,4.856,,,,,,,2024-03
JQ선흘2,2024-04-01,S11,3.936,,,,,,,2024-04
JQ선흘2,2024-05-01,S11,3.705,,,,,,,2024-05
JQ선흘2,2024-06-01,S11,3.424,,,,,,,2024-06
JQ선흘2,2024-07-01,S11,4.095,,,,,,,2024-07
JQ선흘2,2024-08-01,S11,3.636,,,,,,,2024-08
JQ선흘2,2024-09-01,S11,3.215,,,,,,,2024-09
JQ선흘2,2024-10-01,S11,3.679,,,,,,,2024-10
JQ선흘2,2024-11-01,S11,6.273,,,,,,,2024-11
JQ선흘2,2024-12-01,S11,4.394,,,,,,,2024-12
JQ선흘2,2025-01-01,S11,3.325,,,,,,,2025-01
JQ선흘2,2025-02-01,S11,2.87,,,,,,,2025-02
JQ선흘2,2025-03-01,S11,2.731,,,,,,,2025-03
JQ선흘2,2025-04-01,S11,2.639,,,,,,,2025-04
JQ선흘2,2025-05-01,S11,2.538,,,,,,,2025-05
JQ선흘2,2025-06-01,S11,2.601,,,,,,,2025-06
JQ선흘2,2025-07-01,S11,2.773,,,,,,,2025-07
JQ선흘2,2025-08-01,S11,2.666,,,,,,,2025-08
JQ선흘2,2025-09-01,S11,2.877,,,,,,,2025-09
JQ선흘2,2025-10-01,S11,3.834,,,,,,,2025-10
JQ선흘2,2025-11-01,S11,3.095,,,,,,,2025-11
JQ선흘2,2025-12-01,S11,2.576,,,,,,,2025-12
JQ선흘2,2026-01-01,S11,2.254,,,,,,,2026-01
JQ선흘2,2026-02-01,S11,2.08,,,,,,,2026-02
JQ선흘2,2026-03-01,S11,2.261,,,,,,,2026-03
JQ선흘2,2026-04-01,S11,2.566,,,,,,,2026-04
